afstemningid,sagstrinid,kommentar,afstemningstypeid,dato,sagstrintypeid,sagid,sagstypeid,sag_nummer,sag_titel,sag_titelkort
8217,227476,,1,2021-06-01 00:00:00,17,88771,3,L 193 B,Forslag til lov om ændring af lov om restrukturering og afvikling af visse finansielle virksomheder og ligningsloven. (Oprettelse af gældsrådsgivningsenhed i Finansiel Stabilitet som følge af aftale om erstatning m.v. til minkavlerne og følgeerhverv berørt af covid-19).,Om restrukturering og afvikling af visse finansielle virksomheder og ligningsloven.
8218,227480,,1,2021-06-01 00:00:00,17,88772,3,L 193 C,Forslag til lov om ændring af lov om Danmarks Grønne Investeringsfond. (Etablering af Danmarks Grønne Fremtidsfond samt finansiering gennem statsligt genudlån).,Om etablering af Danmarks Grønne Fremtidsfond.
8219,220779,,1,2021-06-01 00:00:00,17,86582,3,L 133,Forslag til lov om ændring af dødsboskatteloven og kildeskatteloven. (Indgreb mod skatteundgåelse ved overtagelse af virksomhed i virksomhedsordningen).,Om indgreb mod skatteundgåelse ved overtagelse af virksomhed i virksomhedsordningen.
8220,227603,,1,2021-06-01 00:00:00,17,88804,3,L 211 A,"Forslag til lov om ændring af selskabsskatteloven og forskellige andre love. (EU-retlig tilpasning af foreningsbeskatningen, diverse justeringer af investeringsinstitutters beskatning, skattefritagelse af selvejende plejehjem og plejeboliger, forhøjelse af det skattefri bundfradrag for ydelser fra sociale fonde m.v., indberetning af udbytter af aktier m.v. registreret i en dansk værdipapircentral og kontoført af en udenlandsk kontofører og ændringer som følge af det midlertidige forbud mod hold af mink m.v.).   ",Om EU-retlig tilpasning af foreningsbeskatningen og justering af reglerne for investeringsinstitutters beskatning af udbytte fra danske aktier m.v.
8221,226511,,1,2021-06-01 00:00:00,17,88361,3,L 227,Forslag til lov om indfødsrets meddelelse.,Om indfødsrets meddelelse.
8222,225350,,1,2021-06-01 00:00:00,17,87897,3,L 194,"Forslag til lov om ændring af lov om almene boliger m.v., lov om leje af almene boliger og lov om leje. (Tidligere hårde ghettoområder, som er omfattet af en udviklingsplan).","Om tidligere hårde ghettoområder, som er omfattet af en udviklingsplan."
8223,225324,,1,2021-06-01 00:00:00,17,87895,3,L 204,"Forslag til lov om ændring af lov om autorisation af sundhedspersoner og om sundhedsfaglig virksomhed, lov om tobaksvarer m.v., lov om elektroniske cigaretter m.v. og forskellige andre love. (Ændring af journalføringsreglerne, reaktionsmulighed ved manglende betaling af registreringsgebyr på tatoveringsområdet og supplerende bestemmelser i tilknytning til markedsovervågningsforordningen samt lovtekniske ændringer i psykiatriloven og strålebeskyttelsesloven).","Om ændring af journalføringsreglerne, reaktionsmulighed ved manglende betaling af registreringsgebyr på tatoveringsområdet m.v."
8275,227701,,1,2021-06-03 00:00:00,17,88834,3,L 189 A,"Forslag til lov om ændring af straffeloven, lov om politiets virksomhed, retsplejeloven og udlændingeloven. (Forbud mod deltagelse i nattelivet, udvidet adgang til beslaglæggelse af værdigenstande og udvisning af udlændinge dømt for vanvidskørsel m.v.).","Om forbud mod deltagelse i nattelivet, udvidet adgang til beslaglæggelse af værdigenstande og udvisning af udlændinge dømt for vanvidskørsel m.v."
8281,227705,,1,2021-06-03 00:00:00,17,88835,3,L 189 B,Forslag til lov om politiets virksomhed. (Tryghedsskabende opholdsforbud).,Om tryghedsskabende opholdsforbud.
8282,227720,,1,2021-06-03 00:00:00,17,88837,3,L 212 A,"Forslag til lov om ændring af retsplejeloven og forskellige andre love og om ophævelse af lov om udpantning og om udlæg uden grundlag af dom eller forlig. (Effektivisering af straffesagskæden, digital kommunikation i skiftesager, pligtig afgangsalder for dommerfuldmægtige m.v.).","Om effektivisering af straffesagskæden, digital kommunikation i skiftesager og pligtig afgangsalder for dommerfuldmægtige m.v. "
8283,227724,,1,2021-06-03 00:00:00,17,88838,3,L 212 B,"Forslag til lov om ændring af retsplejeloven. (Øget brug
af telekommunikation med billede i retsmøder om visse foranstaltninger).",Om øget brug af telekommunikation med billede i retsmøder om visse foranstaltninger.
8284,227728,,1,2021-06-03 00:00:00,17,88839,3,L 212 C,"Forslag til lov om ændring af retsplejeloven, lov om aktiv socialpolitik og forskellige andre love. (Nedsættelse af visse offentlige ydelser ved tiltaltes udeblivelse uden dokumenteret lovligt forfald).",Om nedsættelse af visse offentlige ydelser ved tiltaltes udeblivelse uden dokumenteret lovligt forfald.
8285,226576,,1,2021-06-03 00:00:00,17,88366,3,L 222,"Forslag til lov om ændring af retsplejeloven. (Nyt uafhængigt tilsyn med bevismidler, udvidelse af politiklageordningen og justering af ordningen med fartbøder til politiets personale i forbindelse med udrykningskørsel som led i tjenesten).",Om nyt uafhængigt tilsyn med bevismidler og udvidelse af politiklageordningen m.v.
8286,226524,,1,2021-06-03 00:00:00,17,88362,3,L 223,Forslag til lov om ændring af købeloven og lov om markedsføring. (Ændring af reglerne om forbrugerkøb som følge af implementering af varedirektivet og direktivet om digitalt indhold).,Om ændring af reglerne om forbrugerkøb som følge af implementering af varedirektivet og direktivet om digitalt indhold.
8288,226498,,1,2021-06-03 00:00:00,17,88360,3,L 229,"Forslag til lov om ændring af lov om naturbeskyttelse, lov om skove, dyrevelfærdsloven, lov om mark- og vejfred og færdselsloven. (Adgang til at etablere naturnationalparker og obligatorisk digital kommunikation m.v.).",Om adgang til at etablere naturnationalparker og obligatorisk digital kommunikation m.v.
8289,225337,,1,2021-06-03 00:00:00,17,87896,3,L 205,"Forslag til lov om ændring af lov om ophavsret. (Implementering af dele af direktiv om ophavsret og beslægtede rettigheder på det digitale indre marked og direktiv om regler for udøvelse af ophavsretten og beslægtede rettigheder, der gælder for visse af tv- og radioselskabernes onlinetransmissioner og retransmissioner af tv- og radioprogrammer m.v.).",Om implementering af dele af direktiv om ophavsret m.v. og om regler for visse af tv- og radioselskabernes onlinetransmissioner m.v.
8324,226867,,1,2021-06-04 00:00:00,17,88489,3,L 232,"Forslag til lov om ændring af lov om inddrivelse af gæld til det offentlige, skatteforvaltningsloven og dødsboskatteloven.  (Ændringer med henblik på at understøtte overførsel af fordringer til nyt inddrivelsessystem, automatiseret modregning og håndtering af indbetalinger på gæld med retskrafttvivl eller mistanke om datafejl m.v.).",Om ændringer vedrørende nyt inddrivelsessystem m.v.
8325,226854,,1,2021-06-04 00:00:00,17,88487,3,L 233,"Forslag til lov om ændring af lov om energiafgift af mineralolieprodukter m.v., spiritusafgiftsloven, momsloven og forskellige andre love. (Implementering af det omarbejdede cirkulationsdirektiv, direktivet om militær mobilitet og ændringer i alkoholstrukturdirektivet, justering af reglerne om adgang til virksomheders bevillings- og registreringsforhold, præcisering af bagatelgrænsereglen i en række afgiftslove, justering af momsreglerne for udlejningsvirksomheder og køreskolers salg af motorkøretøjer og tilpasning til EU-regler af tidspunktet for momsfradragsrettens indtræden m.v.).",Om implementering af EU-direktiver og forskellige ændringer af energiafgifter m.v.
8363,226063,,1,2021-06-24 00:00:00,17,88142,3,L 213,Forslag til lov om beskyttelse af whistleblowere.,Om beskyttelse af whistleblowere. 
8364,227411,,1,2021-06-24 00:00:00,17,88737,3,L 234,Forslag til lov om ændring af epidemiloven. (Overvågning af smitsomme sygdomme via spildevand).,Om overvågning af smitsomme sygdomme via spildevand.
8365,228013,,1,2021-06-24 00:00:00,17,88989,3,L 235 A,Forslag til lov om ændring af lov om arbejdsgiveres adgang til at pålægge lønmodtagere at blive testet for covid-19 m.v. og lov om udstationering af lønmodtagere m.v. (Udskydelse af solnedgangsklausul).,Om udskydelse af solnedgangsklausuler i regler om covid-19-test af lønmodtagere m.v. 
8366,228017,,1,2021-06-24 00:00:00,17,88990,3,L 235 B,"Forslag til lov om ændring af lov om forebyggelse af smitte med covid-19, når arbejdsgivere stiller bolig til rådighed for ansatte, og lov om pligt til at sikre covid-19-test af tilrejsende arbejdskraft efter indrejse i Danmark. (Udskydelse af solnedgangsklausuler).",Om udskydelse af solnedgangsklausuler i regler om forebyggelse af covid-19. 
8367,227805,,1,2021-06-24 00:00:00,17,88900,3,L 237,"Forslag til lov om ændring af lov om arbejdsløshedsforsikring m.v., lov om sygedagpenge og barselsloven. (Dagpengeret til selvstændige erhvervsdrivende uden forudgående medlemskab af en arbejdsløshedskasse, midlertidigt ophør af selvstændig virksomhed, forlængelse af den midlertidige periode med ret til sygedagpenge for lønmodtagere, der er i øget risiko ved smitte med covid-19, og for lønmodtagere, der er pårørende til personer, der er i øget risiko ved smitte med covid-19, og indførelse af periode, der kan ses bort fra ved vurdering af beskæftigelseskravet for ret til syge- og barselsdagpenge for selvstændige).",Om forlængelse af retten til sygedagpenge som følge af covid-19 m.v.
8368,227944,,1,2021-06-24 00:00:00,17,88958,3,L 238,Forslag til lov om ændring af lov om en aktiv beskæftigelsesindsats. (Særlig løntilskudsordning for langtidsledige seniorer).,Om en særlig løntilskudsordning for langtidsledige seniorer.
8375,228581,,1,2021-08-27 00:00:00,17,89413,3,L 240,Forslag til lov om fornyelse af overenskomster og aftaler for sygeplejersker.,Om fornyelse af overenskomster og aftaler for sygeplejersker.
8377,229283,,1,2021-10-14 00:00:00,17,89639,3,L 9,"Forslag til lov om ændring af lov om rentefrie lån svarende til angivet moms og lønsumsafgift og fremrykket udbetaling af skattekreditter m.v. i forbindelse med covid-19 og lov om midlertidig udskydelse af angivelses- og betalingsfrister m.v. på skatteområdet i forbindelse med covid-19. (Udskydelse af tilbagebetalingsfrister for låneordninger for moms, midlertidig forlængelse af maksimal varighed for betalingsordninger for skattekontoen og nedsættelse af beløbsgrænse for kreditsaldo på skattekontoen som følge af covid-19).","Om udskydelse af tilbagebetalingsfrister for låneordninger for moms, midlertidig forlængelse af maksimal varighed for betalingsordninger for skattekontoen og nedsættelse af beløbsgrænse for kreditsaldo på skattekontoen som følge af covid-19."
8382,229126,,1,2021-11-09 00:00:00,17,89627,3,L 3,Forslag til lov om ændring af lov om Digital Post fra offentlige afsendere. (Omstillingsperiode ved overgang til en ny digital post-løsning).,Om omstillingsperiode ved overgang til en ny digital postløsning.
8383,229569,,1,2021-11-09 00:00:00,17,89661,3,L 35,Forslag til lov om ændring af lov om folkeskolen. (Frihedsgrader til håndtering af faglige udfordringer som følge af covid-19 hos elever i folkeskolen i skoleåret 2021/22).,Om håndtering af faglige udfordringer som følge af covid-19 hos folkeskoleelever i skoleåret 2021/22.
8384,229257,,1,2021-11-09 00:00:00,17,89637,3,L 17,Forslag til lov om ændring af lov om social pension. (Særlig adgang til oplysninger fra Rigsarkivet for ansøgere af tidlig pension m.v.).,Om særlig adgang til oplysninger fra Rigsarkivet for ansøgere af tidlig pension m.v.
8385,231295,,1,2021-11-11 00:00:00,17,90209,3,L 42 A,Forslag til lov om ændring af lov om dansk indfødsret. (Adgang for børn af dansksindede sydslesvigere til at blive danske statsborgere som biperson).,Om adgang for børn af dansksindede sydslesvigere til at blive danske statsborgere som biperson.
8386,231299,,1,2021-11-11 00:00:00,17,90210,3,L 42 B,"Forslag til lov om ændring af lov om dansk indfødsret og ophævelse af lov om indfødsretsprøven af 2015. (Afskaffelse af erklæringsadgangen for naturaliserede nordiske statsborgere mellem 18 og 23 år, spørgsmål om danske værdier i en indfødsretsprøve, bemyndigelse til at fastsætte nærmere regler om udveksling af håndtryk ved en grundlovsceremoni og forhøjelse af gebyret, der betales ved indgivelse af en ansøgning om dansk statsborgerskab ved naturalisation).",Om forskellige ændringer i lov om dansk indfødsret og ophævelse af lov om indfødsretsprøven af 2015.
8387,229270,,1,2021-11-11 00:00:00,17,89638,3,L 43,"Forslag til lov om midlertidig opholdstilladelse til personer, der i Afghanistan har bistået danske myndigheder m.v. ","Om midlertidig opholdstilladelse til personer, der i Afghanistan har bistået danske myndigheder m.v. "
8388,229426,,1,2021-11-11 00:00:00,17,89650,3,L 26,Forslag til lov om Slots- og Kulturstyrelsens kontrol og tilsyn med covid-19-kompensationsordninger m.v. på Kulturministeriets område.,Om Slots- og Kulturstyrelsens kontrol og tilsyn med covid-19-kompensationsordninger m.v. på Kulturministeriets område.
8389,231316,,1,2021-11-11 00:00:00,17,90216,3,L 61,Forslag til lov om ændring af lov om midlertidige foranstaltninger på børne- og undervisningsområdet og folkehøjskoleområdet og for den frie folkeoplysende virksomhed til forebyggelse og afhjælpning i forbindelse med covid-19. (Forlængelse af lovens gyldighed).,Om midlertidige foranstaltninger på børne- og undervisningsområdet og folkehøjskoleområdet og for den frie folkeoplysende virksomhed til forebyggelse og afhjælpning i forbindelse med covid-19.
8396,229595,,1,2021-11-23 00:00:00,17,89663,3,L 34,"Forslag til lov om ændring af lov om erhvervsuddannelser, lov om Arbejdsgivernes Uddannelsesbidrag og forskellige andre love. (Udmøntning af trepartsaftale om flere lærepladser og entydigt ansvar).",Om udmøntning af trepartsaftale om flere lærepladser og entydigt ansvar.
8397,229543,,1,2021-11-23 00:00:00,17,89659,3,L 36,"Forslag til lov om ændring af lov om ændring af lov om folkeskolen, lov om friskoler og private grundskoler m.v., lov om social service og lov om en børne- og ungeydelse. (Udskydelse af revisionsbestemmelse).","Om udskydelse af revisionsbestemmelse i lov om ændring af lov om folkeskolen, lov om friskoler og private grundskoler m.v., lov om social service og lov om en børne- og ungeydelse."
8398,229504,,1,2021-11-23 00:00:00,17,89656,3,L 37,Forslag til lov om ændring af lov om de gymnasiale uddannelser. (Ophævelse af revisionsbestemmelse).,Om ophævelse af revisionsbestemmelse i lov om de gymnasiale uddannelser.
8399,229491,,1,2021-11-23 00:00:00,17,89655,3,L 38,Forslag til lov om ændring af lov om kommunale internationale grundskoler. (Ophævelse af revisionsbestemmelse).,Om ophævelse af revisionsbestemmelse i lov om kommunale internationale grundskoler. 
8401,229205,,1,2021-11-23 00:00:00,17,89633,3,L 24,Forslag til lov om ændring af byggeloven. (Bemyndigelse til fastsættelse af krav til bygningers klimapåvirkning m.v.).,Om bemyndigelse til fastsættelse af krav til bygningers klimapåvirkning m.v.
8402,229192,,1,2021-11-23 00:00:00,17,89632,3,L 16,"Forslag til lov om ændring af lov om forbrugeraftaler og lov om aftaler og andre retshandler på formuerettens område. (Ændring af reglerne om forbrugeraftaler som følge af implementering af visse dele af direktivpakken New Deal for Consumers (moderniseringsdirektivet) og ændringer af forbrugerbeskyttende regler, der falder uden for implementering af moderniseringsdirektivet).",Om ændring af reglerne om forbrugeraftaler som følge af implementering af visse dele af direktivpakken moderniseringsdirektivet m.v.
8406,230422,,1,2021-11-25 00:00:00,17,89964,3,L 91,"Forslag til lov om ændring af lov om godkendelse og syn af køretøjer. (Godkendelse af køretøjer, der ikke er omfattet af typegodkendelsesforordningerne).","Om godkendelse af køretøjer, der ikke er omfattet af typegodkendelsesforordningerne."
8407,231667,,1,2021-11-25 00:00:00,17,90332,3,L 94,"Forslag til lov om arbejdsgiveres adgang til at pålægge lønmodtagere forevisning af coronapas, test for covid-19 m.v.","Om arbejdsgiveres adgang til at pålægge lønmodtagere forevisning af coronapas, test for covid-19 m.v."
8408,229335,,1,2021-11-25 10:00:00,17,89643,3,L 4,Forslag til lov om gennemførelse af protokol om ændring af dobbeltbeskatningsoverenskomsten mellem Kongeriget Danmark og Ukraine.,Om dobbeltbeskatningsoverenskomsten mellem Kongeriget Danmark og Ukraine.
8409,229322,,1,2021-11-25 10:00:00,17,89642,3,L 5,Forslag til lov om gennemførelse af protokol til ændring af dobbeltbeskatningsoverenskomsten mellem Kongeriget Danmark og Forbundsrepublikken Tyskland.,Om dobbeltbeskatningsoverenskomsten mellem Kongeriget Danmark og Forbundsrepublikken Tyskland.
8410,229309,,1,2021-11-25 10:00:00,17,89641,3,L 6,"Forslag til lov om ændring af registreringsafgiftsloven, skatteforvaltningsloven, virksomhedsskatteloven og forskellige andre love. (Ændring af den skatte- og afgiftsmæssige behandling af ladestandere til køretøjer, stramning af leasingregler for køretøjer, indførelse af særlig procedure for partshøring ved værdifastsættelse af nye og brugte køretøjer m.v. og indførelse af solidarisk hæftelse for selvanmeldere m.v.)",Om at gennemføre en række ændringer på motorområdet m.v.
8411,231831,,1,2021-11-25 00:00:00,17,90384,3,L 7 A,"Forslag til lov om ændring af skattekontrolloven og ligningsloven. (Kompetence til godkendelse af oplysningsskemaet m.v., lempelse af kravet om udarbejdelse af transfer pricing-dokumentation i visse rent danske situationer, justering af straffebestemmelsen om indgivelse af land for land-rapport, beskatning af lejeindtægter ved udlejning af helårsbolig og godkendelse af små patientforeninger for sjældne sygdomme som almenvelgørende foreninger m.v.).","Om lempelse af kravet om udarbejdelse af transfer pricing-dokumentation i visse rent danske situationer, beskatning af lejeindtægter ved udlejning af helårsbolig og godkendelse af små patientforeninger for sjældne sygdomme som almenvelgørende foreninger"
8412,231835,,1,2021-11-25 00:00:00,17,90383,3,L 7 B,Forslag til lov om ændring af skattekontrolloven. (Regnskabsføring i fremmed valuta for visse udenlandske kulbrinteskattepligtige).,Om regnskabsføring i fremmed valuta for visse udenlandske kulbrinteskattepligtige.
8413,229439,,1,2021-11-25 00:00:00,17,89651,3,L 29,Forslag til lov om projektering og anlæg af en energiø i Nordsøen.,Om projektering og anlæg af en energiø i Nordsøen.
8414,229517,,1,2021-11-25 00:00:00,17,89657,3,L 31,Forslag til lov om ændring af lov om klima. (Indikativt klimamål for 2025).,Om indikativt klimamål for 2025.
8415,229387,,1,2021-11-25 00:00:00,17,89647,3,L 13,Forslag til lov om ændring af lov om markedsføring. (Gennemførelse af ændringer i direktivet om urimelig handelspraksis og indførelse af regler om handelspraksis rettet mod børn og unge samt ny bødemodel m.v.).,"Om ændringer i direktivet om urimelig handelspraksis, indførelse af regler om handelspraksis rettet mod børn og unge samt ny bødemodel m.v."
8416,229361,,1,2021-11-30 00:00:00,17,89645,3,L 10,Forslag til lov om ændring af lov om anvendelsen af visse af Den Europæiske Unions retsakter om økonomiske forbindelser til tredjelande m.v. (Ophævelse af forbud mod teknisk bistand og indførelse af straffebestemmelse for ny kontrol med cyberovervågningsprodukter).,Om ophævelse af forbud mod teknisk bistand og indførelse af straffebestemmelse for ny kontrol med cyberovervågningsprodukter.
8417,229374,,1,2021-11-30 00:00:00,17,89646,3,L 11,"Forslag til lov om ændring af lov om administration af tilskud fra Den Europæiske Regionalfond og Den Europæiske Socialfond og lov om erhvervsfremme. (Tilpasninger af reglerne om administration af EU-forordninger vedrørende Regionalfonden, Socialfonden Plus og Fonden for Retfærdig Omstilling m.v.).","Om tilpasninger af reglerne om administration af EU-forordninger vedrørende Regionalfonden, Socialfonden Plus og Fonden for Retfærdig Omstilling m.v."
8422,229153,,1,2021-12-02 00:00:00,17,89629,3,L 32,Forslag til lov om ændring af SU-loven og lov om statens voksenuddannelsesstøtte. (Ligestilling ved tildeling af ekstra SU i forbindelse med fødsel eller adoption m.v.).,Om ligestilling ved tildeling af ekstra SU i forbindelse med fødsel eller adoption m.v.
8423,229621,,1,2021-12-02 00:00:00,17,89665,3,L 19,"Forslag til lov om ændring af taxiloven. (Dokumentationskrav til brug for tilsyn og med hensyn til danskkundskaber for chauffører, gebyrer og overenskomstkrav for tilladelser i henhold til tidligere gældende lov om taxikørsel m.v.).",Om justering af taxiloven.
8424,229660,,1,2021-12-02 00:00:00,17,89668,3,L 21,Forslag til lov om ændring af færdselsloven og lov om produkter og markedsovervågning. (Markedsovervågning på færdselsområdet m.v.).,Om markedsovervågning på færdselsområdet m.v.
8425,229991,,1,2021-12-02 00:00:00,17,89829,3,L 46,Forslag til lov om ændring af postloven. (Hjemmel til at sanktionere overtrædelse af indberetningsforpligtelser efter forordning om grænseoverskridende pakkeleveringstjenester).,Om sanktioner for overtrædelse af indberetningsforpligtelser efter forordningen om grænseoverskride pakkeleveringstjenester.
8426,229673,,1,2021-12-02 00:00:00,17,89669,3,L 22,"Forslag til lov om ændring af jernbaneloven, lov om elektrificering af jernbanen og ligningsloven. (Fravigelse af støjkrav i forbindelse med jernbaneprojekter i særlige tilfælde og kompensation herfor).",Om fravigelse af støjkrav i forbindelse med jernbaneprojekter i særlige tilfælde og kompensation herfor.
8427,229452,,1,2021-12-02 00:00:00,17,89652,3,L 33,Forslag til lov om ændring af lov om forsvarets personel. (Udvidelse af ordningen for supplerende ydelse for udsendt personel m.v.).,Om udvidelse af ordningen for supplerende ydelse for udsendte personel m.v.
8429,232048,,1,2021-12-02 00:00:00,17,90483,3,L 44 A,Forslag til lov om ændring af lov om forsøgsordning med medicinsk cannabis. (Permanent mulighed for dyrkning af cannabis m.v.).,Om permanent mulighed for dyrkning af cannabis m.v.
8431,232052,,1,2021-12-02 00:00:00,17,90482,3,L 44 B,Forslag til lov om ændring af lov om forsøgsordning med medicinsk cannabis. (Forlængelse af forsøgsordningen).,Om forlængelse af forsøgsordningen.
8443,232127,,1,2021-12-09 00:00:00,17,90518,3,L 98,"Forslag til lov om ændring af lov om sygedagpenge og barselsloven. (Udvidet ret for arbejdsgiver til refusion og for selvstændige til sygedagpenge som følge af covid-19 samt ny midlertidig periode med ret til dagpenge ved pasning af børn som følge af covid-19).
 
",Om udvidet ret for arbejdsgivere til refusion og for selvstændige til sygedagpenge samt ret til dagpenge ved pasning af børn som følge af covid-19.
8444,229231,,1,2021-12-09 00:00:00,17,89635,3,L 27,"Forslag til lov om ændring af lov om retssikkerhed og administration på det sociale område, lov om social service og lov om bekæmpelse af ungdomskriminalitet. (Forenkling og præcisering af regler om finansiering, mellemkommunal refusion og satsregulering m.v.).","Om forenkling og præcisering af regler om finansiering, mellemkommunal refusion og satsregulering m.v."
8445,230004,,1,2021-12-09 00:00:00,17,89830,3,L 50,Forslag til lov om ændring af lov om trossamfund uden for folkekirken. (Udskydelse af revisionsbestemmelse).,Om udskydelse af revisionsbestemmelse i lov om trossamfund uden for folkekirken.
8446,229647,,1,2021-12-09 10:00:00,17,89667,3,L 20,"Forslag til lov om ændring af lov om luftfart. (Præcisering af rammerne for indskrænkninger i adgangen til luftfart og for tildeling af tilladelse til at udføre ruteflyvning, hjemmel til krav om sikkerhedsgodkendelser m.v.).",Om rammerne for indskrænkninger i adgangen til luftfart og for tildeling af tilladelse til at udføre ruteflyvning m.v.
8452,231131,,1,2021-12-14 00:00:00,17,90152,3,L 75,"Forslag til lov om ændring af pensionsbeskatningsloven, pensionsafkastbeskatningsloven og forskellige andre love. (Korrektion af fejlindbetalinger til pensionsordninger, flytning af årets pensionsindbetalinger til andet pensionsinstitut og justeringer af bl.a. pensionsbeskatningsloven og pensionsafkastbeskatningsloven).","Om korrektion af fejlindbetalinger til pensionsordninger, flytning af pensionsindbetalinger til andet pensionsinstitut m.v."
8453,229478,,1,2021-12-14 00:00:00,17,89654,3,L 39,"Forslag til lov om ændring af lov om Arbejdsgivernes Uddannelsesbidrag. (Justering af fleksibelt uddannelsesbidrag og aktivitetsafhængigt VEU-bidrag for 2022, fastsættelse af modelparametre for erhvervsuddannelser til brug for beregning af praktikpladsafhængigt arbejdsgiverbidrag for 2022 og fastholdelse af merbidragssats m.v.).",Om årlig justering af det fleksible uddannelsesbidrag og det aktivitetsafhængige VEU-bidrag m.v.
8454,229140,,1,2021-12-14 13:00:00,17,89628,3,L 15,"Forslag til lov om ændring af straffeloven, retsplejeloven og lov om tilhold, opholdsforbud og bortvisning. (Styrket indsats mod stalking).",Om styrket indsats mod stalking.
8459,229166,,1,2021-12-16 10:00:00,17,89630,3,L 14,"Forslag til lov om ændring af straffeloven, retsplejeloven, hvidvaskloven og forskellige andre love. (Implementering af initiativer i aftale om politiets og anklagemyndighedens økonomi 2021-2023, herunder etablering af National Enhed for Særlig Kriminalitet).","Om implementering af initiativer i aftale om politiets og anklagemyndighedens økonomi, herunder etablering af National Enhed for Særlig Kriminalitet."
8460,232610,,1,2021-12-16 00:00:00,17,90725,3,L 52 A,Forslag til lov om ændring af lov om pas til danske statsborgere m.v. (Styrkelse af passikkerheden m.v.).,Om styrkelse af passikkerheden m.v.
8461,232614,,1,2021-12-16 00:00:00,17,90726,3,L 52 B,"Forslag til lov om ændring af lov om Det Centrale Personregister. (Palæstina, Gaza, Vestbredden og Østjerusalem som fødselsregistreringssted i CPR).",Om fødselsregistreringssted i CPR.
8462,230373,,1,2021-12-16 00:00:00,17,89960,3,L 51,Forslag til lov om ændring af lov om ændring af kriminallov for Grønland og retsplejelov for Grønland. (Ophævelse af ophørsklausul for foranstaltninger til at forebygge og inddæmme smitte med covid-19 m.v.).,Om ophævelse af ophørsklausul for foranstaltninger til at forebygge og inddæmme smitte med covid-19 m.v.
8463,230435,,1,2021-12-16 00:00:00,17,89965,3,L 54,"Forslag til lov for Grønland om identifikation af aktionærer, videregivelse af oplysninger og lettelse af udøvelsen af aktionærrettigheder.","Om identifikation af aktionærer, videregivelse af oplysninger og lettelse af udøvelsen af aktionærrettigheder."
8464,231027,,1,2021-12-16 00:00:00,17,90143,3,L 70,Forslag til lov om ændring af lov om stormflod og stormfald. (Indførelse af erstatning for visse skader forårsaget af tørke samt ændring af lovens titel m.v.).,Om indførelse af erstatning for visse skader forårsaget af tørke m.v.
8465,229179,,1,2021-12-16 00:00:00,17,89631,3,L 25,"Forslag til lov om ændring af lov om valg til Folketinget, lov om valg af danske medlemmer til Europa-Parlamentet og lov om kommunale og regionale valg. (Forbud mod betaling for vælgererklæringer og stillerunderskrifter samt krav om godkendelse af navneændring for opstillingsberettigede partier m.v.).",Om forbud mod betaling for vælgererklæringer og stillerunderskrifter samt krav om godkendelse af navneændring for opstillingsberettigede partier m.v.
8466,230934,,1,2021-12-16 00:00:00,17,90134,3,L 58,Forslag til lov om ændring af lov om frikommunenetværk. (Forlængelse af udvalgte forsøgsmuligheder i Frikommuneforsøg II).,Om forlængelse af udvalgte forsøgsmuligheder i Frikommuneforsøg II.
8467,230908,,1,2021-12-16 00:00:00,17,90132,3,L 79,Forslag til lov om ændring af lov om beskyttelse af havmiljøet. (Geologisk lagring af CO2 under havbunden).,Om geologisk lagring af CO2 under havbunden.
8468,231092,,1,2021-12-16 00:00:00,17,90149,3,L 68,"Forslag til lov om ændring af lov om institutioner for almengymnasiale uddannelser og almen voksenuddannelse m.v., lov om de gymnasiale uddannelser, lov om private institutioner for gymnasiale uddannelser og lov om institutioner for erhvervsrettet uddannelse. (Udskydelse af solnedgangsklausul, afskaffelse af ventelister, begrænsning af mulighed for institutionsskift, etablering af tilskudsloft for elever på private gymnasier og midlertidigt stop for optag).","Om udskydelse af solnedgangsklausul, afskaffelse af ventelister, begrænsning af mulighed for institutionsskift, etablering af tilskudsloft for elever på private gymnasier og midlertidigt stop for optag."
8481,232525,,1,2021-12-21 00:00:00,17,90697,3,L 101,"Forslag til lov om ændring af lov om social pension, lov om højeste, mellemste, forhøjet almindelig og almindelig førtidspension m.v. og lov om arbejdsløshedsforsikring m.v.
 (Forlængelse af midlertidig ordning om ret til at få fratrukket merindtægt som følge af arbejde relateret til covid-19 ved indtægtsregulering af folke-, senior- og førtidspension m.v. og fritagelse for fradrag i efterløn for merindtægt fra arbejde relateret til covid-19).
","Om forlængelse af retten til at få fratrukket merindtægt som følge af arbejde relateret til covid-19 ved indtægtsregulering af folke-, senior- og førtidspension m.v."
8482,232538,,1,2021-12-21 00:00:00,17,90698,3,L 102,"Forslag til lov om ændring af lov om adgang til iværksættelse af midlertidig arbejdsfordeling som led i håndteringen af covid-19 og lov om arbejdsløshedsforsikring m.v. (Forlængelse af den midlertidige arbejdsfordelingsordning m.v.).
","Om forlængelse af den midlertidige arbejdsfordelingsordning m.v.
"
