afstemningid,sagstrinid,afstemningstypeid,dato,sagstrintypeid,sagid,sagstypeid,sag_nummer,sag_titel,sag_titelkort,sag_titel_en
9587,251873,1,2024-03-14 00:00:00,17,97263,3,L 98,"Forslag til lov om ændring af lov om midlertidig opholdstilladelse til personer, der er fordrevet fra Ukraine, og lov om Udbetaling Danmark. (Tilskud til forsørgelse af børn, der forsørges af andre end forældrene, og sidestilling af gifte, men praktisk set enlige, forsørgere med reelt enlige i forhold til forsørgelsesydelse m.v.).",Om afhjælpning af udfordringer for fordrevne fra Ukraine.,"Proposal for a law amending the law on temporary residence permits for displaced persons from Ukraine and the Law on Disbursement Denmark. (Subsidies for the provision of dependent children and the equivalence of married, but practically single, dependants with real singles in relation to dependency, etc.)."
9593,251732,1,2024-03-19 00:00:00,17,97216,3,L 96,Forslag til lov om ændring af barselsloven. (13 ugers ekstra orlov til begge tvillingeforældre m.v.).,Om 13 ugers ekstra orlov til begge tvillingeforældre m.v.,Draft law amending the law on maternity leave (13 weeks extra leave for both twin parents etc.).
9600,251205,1,2024-04-04 00:00:00,17,97074,3,L 89,Forslag til lov om ændring af lov om velfærdsaftaler på dagtilbudsområdet og folkeskoleområdet og love om ændring af dagtilbudsloven. (Forlængelse af forsøgsperioden for velfærdsaftalekommunerne på dagtilbudsområdet og folkeskoleområdet).,Om forlængelse af forsøgsperioden for velfærdsaftalekommunerne på dagtilbudsområdet og folkeskoleområdet.,Proposal for a law amending the law on day-to-day and primary-school welfare agreements and laws amending the day-to-day offer law. (Alternation of the trial period of the welfare agreements municipalities in the day-to-day and primary-school fields).
9601,252024,1,2024-04-04 00:00:00,17,97336,3,L 101,Forslag til lov om opgradering af Øresundsbanen.,Om opgradering af Øresundsbanen.,Draft law on upgrading the Øresund railway.
9602,252300,1,2024-04-04 00:00:00,17,97417,3,L 105,Forslag til lov om ændring af lov om infrastruktur for alternative drivmidler til transport. (Ændringer som følge af vedtagelsen af forordning om etablering af infrastruktur for alternative drivmidler).,Om etablering af infrastruktur for alternative drivmidler.,Proposal for a law amending the law on infrastructure for alternative transport vehicles (Amendments resulting from the adoption of a regulation on the establishment of alternative vehicle infrastructure).
9603,252199,1,2024-04-04 00:00:00,17,97409,3,L 104,Forslag til lov om ændring af lov om social service og forskellige andre love. (Ligestilling af krisecentertilbud til mænd m.v.).,Om ligestilling af krisecentertilbud til mænd m.v.,Proposal for a law amending the Social Services Act and various other laws.
9604,252480,1,2024-04-04 00:00:00,17,97492,3,L 111,Forslag til lov om ændring af lov om andelsboligforeninger og andre boligfællesskaber. (Ændring af værdiansættelsesprincipper).,Om ændring af værdiansættelsesprincipper for andelsboligforeninger og andre boligfællesskaber.,Draft law amending the law on cooperative housing associations and other housing communities. (Change of valuation principles).
9605,254618,1,2024-04-04 00:00:00,17,98037,3,L 119 A,"Forslag til lov om ændring af lov om forskellige forbrugsafgifter. (Afgiftsforhøjelser på nikotinprodukter og røgfri tobak og justering af overgangsregler ved afgiftsforhøjelser på røgfri tobak, nikotinprodukter og nikotinholdige væsker).",Om forskellige forbrugsafgifter.,"Proposal for a law amending the law on various excise duties (tax increases on nicotine products and smoke-free tobacco and adjustment of transitional rules for tax increases on smoke-free tobacco, nicotine products and nicotine-containing liquids)."
9606,254622,1,2024-04-04 00:00:00,17,98038,3,L 119 B,"Forslag til lov om ændring af momsloven. (Særordningen for små virksomheder på momsområdet, justering af momsreglerne om leveringssted for visse virtuelt leverede ydelser, ophævelse af særlig momsregel ved el- og gashandel og betalingsfrist for køb og indførsel af visse køretøjer m.v.).",Om ændring af momsloven.,"Proposal for a law amending the VAT Act. (Special arrangements for small enterprises in the field of VAT, adjustment of VAT rules on the place of supply of certain virtually supplied services, abolition of special VAT rules on electricity and gas trading and payment deadlines for the purchase and importation of certain vehicles, etc.)."
9607,254626,1,2024-04-04 00:00:00,17,98039,3,L 119 C,"Forslag til lov om ændring af chokoladeafgiftsloven, kildeskatteloven og forskellige andre love. (Godtgørelse af dækningsafgift i chokoladeafgiftsloven, præcisering af krav om beholdningsregnskab ved løssalg af groftskåret røgtobak, bøder ved enkeltsalg af cigaretter og manglende beholdningsregnskab, tilpasning af det afgiftspligtige vareområde for visse alkoholvarer, nulangivelse ved udbetaling af royalty til udlandet uden indeholdelse af kildeskat, mulighed for dataudstilling om visse søfarende, afskaffelse af godtgørelsesordning i spildevandsafgiftsloven, tilpasning af reglerne om sikkerhedsstempelmærker og genindførelse af register over erhvervsfiskere med B-status m.v.).","Om ændring af chokoladeafgiftsloven, kildeskatteloven og forskellige andre love.","Proposal for a law amending the chocolate tax law, the withholding tax law and various other laws."
9614,251745,1,2024-04-16 00:00:00,17,97217,3,L 97,"Forslag til lov om ændring af kriminallov for Grønland og retsplejelov for Grønland. (Initiativer mod digitale krænkelser, herunder forbud mod grooming, sidestilling af samleje med barn med voldtægt, tilsnigelse af samleje, religiøse lederes udnyttelse af religiøs afhængighed med henblik på at skaffe sig samleje m.v.).",Om opdatering af den grønlandske kriminallovs bestemmelser om seksualforbrydelser m.v.,"Proposal for a law amending the law on criminal law for Greenland and the law on the administration of justice for Greenland. (Initiatives against digital violations, including bans on grooming, sexual intercourse with child with rape, sexual intercourse, religious leaders' exploitation of religious dependence for sexual intercourse, etc.)."
9617,252238,1,2024-04-18 00:00:00,17,97412,3,L 102,"Forslag til lov om ændring af lov om vandforsyning m.v., byggeloven og lov om produkter og markedsovervågning. (Gennemførelse af dele af drikkevandsdirektivet, herunder risikobaseret tilgang til vandsikkerhed, minimumskrav til hygiejne for materialer, der kommer i kontakt med drikkevand, minimumskrav til behandlingskemikalier og filtermedier, der kommer i kontakt med drikkevand, adgang til drikkevand og oplysninger til offentligheden).","Om gennemførelse af dele af drikkevandsdirektivet, herunder risikobaseret tilgang til vandsikkerhed m.v.","Proposal for a law amending the Law on water supply, etc., building law and law on products and market surveillance. (Implementation of parts of the drinking water directive, including risk-based approach to water safety, minimum hygiene requirements for materials that come into contact with drinking water, minimum requirements for treatment chemicals and filter media that come into contact with drinking water, access to drinking water and information to the public)."
9618,252251,1,2024-04-18 00:00:00,17,97413,3,L 103,Forslag til lov om ændring af lov om beskyttelse af havmiljøet i den eksklusive økonomiske zone ved Grønland. (Bemyndigelse til at fastsætte regler om forebyggelse og begrænsning af havforurening som følge af aktiviteter på havet og om skibsophugningsaktiviteter).,Om forebyggelse og begrænsning af havforurening ved den eksklusive økonomiske zone ved Grønland m.v.,Proposal for a law amending the Law on the Protection of the Marine Environment of the Exclusive Economic Zone of Greenland.
9619,252313,1,2024-04-18 00:00:00,17,97418,3,L 110,"Forslag til lov om ændring af repatrieringsloven, hjemrejseloven og udlændingeloven. (Adgang til indkomstregisteret i forbindelse med dedikeret vejledning om repatrieringsordningen, ændring af ydelsesstruktur og udbetalingstidspunkt for hjælp til repatriering, høring af politiet i alle repatrieringssager, udvidelse af målgruppen for videregivelse af oplysninger til brug for udsendelse, videregivelse af helbredsoplysninger til brug for udsendelse, ændring af reglerne om behandling af sager om opholdstilladelse som udsendelseshindret og fastsættelse af indrejseforbud ved overskridelse af en udrejsefrist m.v.).",Om forenkling og smidiggørelse af myndighedernes sagsbehandling på udlændingeområdet.,"Proposal for a law amending the Return Act, the Return Act and the Aliens Act."
9629,252037,1,2024-05-02 00:00:00,17,97337,3,L 100,"Forslag til lov om ændring af lov om spil. (Styrket indsats mod aftalt spil, forbedrede sanktionsmuligheder, hjemmel til øget databehandling, ændrede gebyrer for spilleautomater og diverse justeringer af spilområdet).",Om udmøntning af aftalen om nye rammer for spilmarkedet.,"Proposal for a law amending the Gaming Act. (Strengthened action against agreed games, improved sanction options, legal basis for increased data processing, changed fees for slot machines and various adjustments to the gaming area)."
9630,252212,1,2024-05-02 00:00:00,17,97410,3,L 107,"Forslag til lov om ændring af årsregnskabsloven, revisorloven og forskellige andre love. (Gennemførelse af EU-direktiv om virksomheders bæredygtighedsrapportering og EU-direktiv om forhøjelse af størrelsesgrænser i regnskabsdirektivet m.v.).",Om gennemførelse af direktiv om virksomheders bæredygtighedsrapportering m.v.,"Proposal for a law amending the Financial Statements Act, the Auditor Act and various other laws. (Implementation of the EU Directive on Corporate Sustainability Reporting and the EU Directive on Increases in Size Limits in the Accounting Directive, etc.)."
9631,253032,1,2024-05-02 00:00:00,17,97649,3,L 122,"Forslag til lov om ændring af lov om finansiel virksomhed, lov om betalinger, lov om kapitalmarkeder og forskellige andre love. (Tilsyn efter forordning om digital operationel modstandsdygtighed i den finansielle sektor og forordning om markeder for kryptoaktiver, regler for udpegelse af administrationsselskab for Garantifonden og aflønningsregler for firmapensionskasser).","Om ændringer af den finansielle lovgivning, der er nødvendige for at sikre implementering af fælleseuropæisk regulering på cybersikkerhedsområdet.","Proposal for a law amending the Law on Financial Activities, the Act on Payments, the Law on Capital Markets and various other laws. (Support under the regulation on digital operational resilience in the financial sector and regulation on markets for cryptoassets, rules on the appointment of a management company for the Guarantee Fund and remuneration rules for corporate pension funds)."
9632,254373,1,2024-05-02 00:00:00,17,97928,3,L 142,"Forslag til lov om ændring af lov om ændring af lov om folkeskolen, lov om friskoler og private grundskoler m.v., lov om social service og lov om en børne- og ungeydelse. (Ophævelse af revisionsbestemmelse).","Om ophævelse af revisionsbestemmelse vedrørende ændring af lov om folkeskolen, lov om friskoler og private grundskoler m.v.","Proposal for a law amending the Law amending the Law on Public Schools, the Law on Free Schools and Private Primary Schools, etc., the Law on Social Services and the Law on Child and Youth Benefits."
9644,252980,1,2024-05-07 00:00:00,17,97645,3,L 124,Forslag til lov om ændring af dagtilbudsloven. (Anvendelse af digitale redskaber i dagtilbud og private pasningsordninger).,Om anvendelse af digitale redskaber i dagtilbud og private pasningsordninger.,Proposal for a law amending the day-to-day provision law. (Use of digital tools in day-to-day provision and private care schemes).
9647,252944,1,2024-05-14 00:00:00,17,97638,3,L 112,Forslag til lov om anlæg af en tredje Limfjordsforbindelse.,Om anlæg af en tredje Limfjordsforbindelse.,Proposal for a law on the construction of a third Limfjord connection.
9648,252929,1,2024-05-14 00:00:00,17,97636,3,L 113,Forslag til lov om udbygning af E20 Amagermotorvejen.,Om udbygning af E20 Amagermotorvejen.,Proposal for a law on the extension of the E20 Amager motorway.
9649,254028,1,2024-05-14 00:00:00,17,97854,3,L 131,Forslag til lov om ændring af lov om folkeskolen. (Forlængelse af de udvidede frihedsgrader om afkortning af skoleugens længde og målsætningen om fuld kompetencedækning i skoleåret 2024/25).,Om forlængelse af de udvidede frihedsgrader på folkeskoleområdet i skoleåret 2024/25.,Proposal for a law amending the law on primary school. (Extension of the extended degrees of freedom on shortening the duration of the school week and the objective of full competence in the school year 2024/25).
9650,254345,1,2024-05-14 00:00:00,17,97926,3,L 140,"Forslag til lov om ændring af lov om forberedende grunduddannelse, lov om institutioner for forberedende grunduddannelse, lov om kommunal indsats for unge under 25 år og forskellige andre love. (Mere fleksible rammer til at tilrettelægge forberedende grunduddannelse og smidigere overgang til den forberedende grunduddannelse m.v.).",Om mere fleksible rammer til at tilrettelægge forberedende grunduddannelse og smidigere overgang til den forberedende grunduddannelse m.v.,"Proposal for a law amending the Law on Basic Education, the Law on Institutions for Preparatory Education, the Law on Local Action for Young People under 25 and various other laws. (More flexible framework for organising preparatory initial training and smoother transition to initial preparatory training, etc.)."
9652,252287,1,2024-05-14 00:00:00,17,97416,3,L 109,Forslag til lov om ændring af lov om velfærdsaftaler på ældreområdet. (Forlængelse af velfærdsaftalerne på ældreområdet).,Om forlængelse af velfærdsaftalerne på ældreområdet.,Proposal for a law amending the law on welfare agreements in the area of the elderly.
9656,254332,1,2024-05-16 00:00:00,17,97925,3,L 138,"Forslag til lov om ændring af personskatteloven, ligningsloven og forskellige andre love. (Udmøntning af dele af aftale om reform af personskat).",Om udmøntning af dele af aftale om reform af personskat.,"Proposal for a law amending the Personal Tax Act, the law on equations and various other laws (implementation of parts of the agreement on the reform of personal tax)."
9657,252225,1,2024-05-16 00:00:00,17,97411,3,L 106,"Forslag til lov om ændring af vandsektorloven, lov om vandforsyning m.v., lov om betalingsregler for spildevandsforsyningsselskaber m.v. og lov om kommuners afståelse af vandselskaber. (Styrkelse af økonomisk tilsyn og takstkontrol m.v. i vandsektoren).",Om styrkelse af økonomisk tilsyn og takstkontrol m.v. i vandsektoren.,"Proposal for a law amending the Water Sector Act, Law on water supply, etc., Law on payment rules for waste water supply companies, etc., and Law on the transfer of water companies by municipalities (Strengthening of financial supervision and tariff controls, etc. in the water sector)."
9665,252993,1,2024-05-21 00:00:00,17,97646,3,L 123,Forslag til lov om ændring af lov om vandforsyning m.v. og lov om miljøbeskyttelse. (Målrettet indsats for boringsnære beskyttelsesområder og forholdet til beskyttelseszonen på 25 m omkring vandboringer).,Om målrettet indsats for boringsnære beskyttelsesområder og forholdet til beskyttelseszonen på 25 m omkring vandboringer.,"Proposal for a law amending the Law on water supply, etc. and the Law on environmental protection."
9666,253110,1,2024-05-21 00:00:00,17,97655,3,L 126,"Forslag til lov om ændring af sundhedsloven, lov om social service, lov om autorisation af sundhedspersoner og om sundhedsfaglig virksomhed og lov om anvendelse af tvang i psykiatrien m.v. (Flytning af ansvar fra kommuner til regioner for misbrugsbehandling i forbindelse med regional integreret dobbeltdiagnosebehandling og omlægning af de særlige pladser på psykiatrisk afdeling).",Om flytning af ansvar fra kommuner til regioner for misbrugsbehandling i forbindelse med regional integreret dobbeltdiagnosebehandling m.v.,"Proposal for a law amending the Health Act, Social Services Act, Law on the Authorisation of Healthcare professionals and on health professions and Law on the Use of Force in Psychology, etc. (Moving responsibilities from municipalities to regions for the treatment of abuse in the context of regionally integrated dual diagnosis and the conversion of the special places in the psychiatric department)."
9667,253071,1,2024-05-21 00:00:00,17,97652,3,L 128,"Forslag til lov om ændring af lov om anvendelse af tvang i psykiatrien m.v.  (Styrkelse af mindreårige patienters rettigheder, anvendelse af metaldetektorer, videregivelse af oplysninger til politiet i forbindelse med fælles udkørsel til borgere m.v.).",Om styrkelse af mindreårige patienters rettigheder m.v.,"Proposal for a law amending the law on the use of force in psychiatry, etc. (strengthening the rights of underage patients, use of metal detectors, transmission of information to police in connection with common exits to citizens, etc.)."
9668,253006,1,2024-05-21 00:00:00,17,97647,3,L 120,"Forslag til lov om ændring af lov om fyrværkeri og andre pyrotekniske artikler, lov om produkter og markedsovervågning, elsikkerhedsloven og lov om tilgængelighedskrav for produkter og tjenester. (Indskrænkning af anvendelsesperioden for fyrværkeri, ændring af sanktioner og kontrolbeføjelser m.v. på Sikkerhedsstyrelsens område og ændring af Rådet for El- og Gasteknisk Sikkerhed m.v.).",Om Indskrænkning af anvendelsesperioden for fyrværkeri m.v.,"Proposal for a law amending the Law on Fireworks and other pyrotechnic articles, the Law on Products and Market Monitoring, the Law on Electricity Safety and the Law on Accessibility Requirements for Products and Services."
9669,253045,1,2024-05-21 00:00:00,17,97650,3,L 121,"Forslag til lov om ændring af konkurrenceloven. (Krav om anmeldelse af visse fusioner under omsætningstærsklerne, indførelse af mulighed for markedsefterforskning og bødeudmåling m.v.).",Om styrkelse af Konkurrence- og Forbrugerstyrelsens muligheder for at sikre en effektiv konkurrence m.v.,"Proposal for a law amending the Competition Act. (Requirements for notification of certain mergers below turnover thresholds, introduction of the possibility of market investigation and assessment of fines, etc.)."
9681,252916,1,2024-05-23 00:00:00,17,97635,3,L 117,Forslag til lov om rørført transport af CO2.,Om rørført transport af CO2.,Proposal for a law on the carriage of CO2 by pipeline.
9682,252903,1,2024-05-23 00:00:00,17,97634,3,L 118,Forslag til lov om ændring af lov om fremme af effektiv energianvendelse og drivhusgasreduktion. (Udmøntning af klimasyn fra grøn skattereform 2022 og implementering af nye krav til energiledelsessystemer og energisyn).,Om udmøntning af klimasyn fra grøn skattereform 2022 og implementering af nye krav til energiledelsessystemer og energisyn.,Proposal for a law amending the law on the promotion of efficient energy use and greenhouse gas reduction (implementation of climate audits from green tax reform 2022 and implementation of new requirements for energy management systems and energy audits).
9684,253019,1,2024-05-23 00:00:00,17,97648,3,L 114,"Forslag til lov om ændring af lov om våben og eksplosivstoffer m.v., lov om krigsmateriel m.v. og lov om jagt og vildtforvaltning. (Strammere kontrol med våbentilladelser, øget sikkerhed ved besiddelse af våben og opbevaring af ammunition m.v.).",Om gennemførelse af regeringsudspillet »Strammere greb om våben« fra juni 2023 m.v.,"Draft law amending the law on arms and explosives, war materials, etc., and the law on hunting and game management."
9691,253097,1,2024-05-23 00:00:00,17,97654,3,L 116,Forslag til lov om ændring af lov om offentlighed i forvaltningen og forvaltningsloven. (Styrket beskyttelse af offentligt ansatte i sager om aktindsigt).,Om styrket beskyttelse af offentligt ansatte i sager om aktindsigt. ,Proposal for a law amending the law on public access to administrative and administrative documents.
9692,256156,1,2024-05-23 00:00:00,17,98564,3,L 129 A,Forslag til lov om ændring af konkursloven. (Revision af konkurskarantænereglerne).,Om revision af konkurskarantænereglerne.,Proposal for a Law amending the Bankruptcy Act (Revision of bankruptcy law).
9694,254015,1,2024-05-23 00:00:00,17,97853,3,L 130,Forslag til lov om ændring af retsplejeloven. (Gennemførelse af aftale om initiativer vedrørende omgørelsesfristen i straffesager). ,Om omgørelsesfristen i straffesager.,Proposal for a law amending the Code of Criminal Procedure. (Implementation of agreement on initiatives relating to the deadline for transposition in criminal matters).
9695,254228,1,2024-05-23 00:00:00,17,97917,3,L 133,Forslag til lov om ændring af lov om undersøgelse af beslutningen om hjemsendelse af ledende medarbejdere i Forsvarets Efterretningstjeneste. (Udvidelse af undersøgelsen).,Om udvidelse af undersøgelse af beslutningen af hjemsendelse af medarbejdere i Forsvarets Efterretningstjeneste.,Proposal for a law amending the Law on the Investigation of the Decision on the Return of Senior Officials in the Defence Intelligence Service (Extensification of the Investigation).
9696,254531,1,2024-05-23 00:00:00,17,98000,3,L 149,Forslag til lov om ændring af retsplejelov for Færøerne og lov for Færøerne om fuldbyrdelse af straf m.v. (Ajourføring af retsplejelov for Færøerne og indførelse af fodlænke- og udstationeringsordning på Færøerne).,Om ajourføring af retsplejelov for Færøerne og indførelse af fodlænke- og udstationeringsordning på Færøerne.,Draft law amending the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on of of of of of of of the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law on the Law
9697,252274,1,2024-05-23 00:00:00,17,97415,3,L 108,Forslag til lov om socialt frikort.,Om socialt frikort.,Proposal for a law on social credit cards.
9699,253084,1,2024-05-23 00:00:00,17,97653,3,L 125,Forslag til lov om ændring af sundhedsloven. (Etablering af lettilgængeligt kommunalt behandlingstilbud til børn og unge med psykisk mistrivsel og symptomer på psykisk lidelse).,Om etablering af lettilgængeligt kommunalt behandlingstilbud til børn og unge med psykisk mistrivsel og symptomer på psykisk lidelse.,Proposal for a law amending the Health Act. (Establishment of readily accessible municipal treatment services for children and young people with mental malaria and symptoms of mental illness).
9700,254319,1,2024-05-23 00:00:00,17,97924,3,L 139,Forslag til lov om udbygning af Øresundsmotorvejen.,Om udbygning af Øresundsmotorvejen.,Proposal for a law on the extension of the Øresund motorway.
9718,254189,1,2024-05-28 00:00:00,17,97914,3,L 146,Forslag til lov om forsøgsordning for frie bymidter.,Om forsøgsordning for frie bymidter.,Proposal for a law on pilot schemes for free city centres.
9719,254306,1,2024-05-28 00:00:00,17,97923,3,L 136,Forslag til lov om ændring af lov om social pension. (Tildeling af anciennitet til tidlig pension for perioder med opskoling).,Om tildeling af anciennitet til tidlig pension for perioder med opskoling.,Proposal for a law amending the Social Pensions Act.
9720,254280,1,2024-05-28 00:00:00,17,97921,3,L 137,"Forslag til lov om ændring af lov om arbejdsmiljø. (Indførelse af autorisationsordning for nedrivning af asbestholdigt materiale, offentliggørelse af udenlandske virksomheders arbejdsmiljø og offentliggørelse af data om arbejdsulykker).","Om indførelse af autorisationsordning for nedrivning af asbestholdigt materiale, offentliggørelse af udenlandske virksomheders arbejdsmiljø m.v.","Proposal for a law amending the Law on Working Conditions. (Introduction of an authorisation system for the demolition of asbestos-containing materials, publication of the working environment of foreign companies and publication of data on accidents at work)."
9743,254818,1,2024-05-30 00:00:00,17,98109,3,L 154,Forslag til lov om kong Frederik den Tiendes civilliste. ,Om kong Frederik den Tiendes civilliste.,Draft law on King Frederik the Tenth's civilian list.
9744,254831,1,2024-05-30 00:00:00,17,98110,3,L 155,Forslag til lov om årpenge for kronprins Christian.,Om årpenge for kronprins Christian.,Draft law on annual money for Crown Prince Christian.
9745,254857,1,2024-05-30 00:00:00,17,98112,3,L 156,Forslag til lov om årpenge for dronning Margrethe.,Om årpenge for dronning Margrethe.,Draft law on annual money for Queen Margrethe.
9746,254805,1,2024-05-30 00:00:00,17,98108,3,L 157,"Forslag til lov om ændring af udlændingeloven, lov om danskuddannelse til voksne udlændinge m.fl. og integrationsloven og forskellige andre love. (Ny opholdsordning for medfølgende familie til hjemvendende udlandsdanskere med visse beskæftigelsesmæssige kvalifikationer, justering af sprogkravet og halvering af den økonomiske sikkerhedsstillelse i ægtefællesammenføringssager, etablering af en lukket opgavebank for danskprøver m.v.).",Om en ny opholdsordning for medfølgende familier til hjemvendende udlandsdanskere m.v.,"Proposal for a law amending the law on foreigners, the law on Danish education for adult foreigners, etc. and the law on integration and various other laws. (New residence scheme for accompanying families of returning foreign students with certain employment qualifications, adjustment of the language requirement and halving of the financial security in marriage cases, establishment of a closed task bank for Danish examinations, etc.)."
9747,254870,1,2024-05-30 00:00:00,17,98113,3,L 159,Forslag til lov om visse medietjenesteudbyderes bidrag til fremme af dansk kultur (kulturbidragsloven).,Om kulturbidragsloven.,Proposal for a law on the contribution of certain media service providers to the promotion of Danish culture (Cultural Contribution Act).
9748,255276,1,2024-05-30 00:00:00,17,98272,3,L 178,"Forslag til lov om ændring af lov om radio- og fjernsynsvirksomhed m.v. og lov om mediestøtte. (Modernisering af public service-puljen, ændring af revisionsbestemmelser for de regionale TV 2-virksomheder, ændring af regler for aktindsigt for DR og de regionale TV 2-virksomheder og ændring af støttelofter for ugeaviser).","Om modernisering af public service-puljen, revisionsbestemmelser for de regionale TV 2-virksomheder og aktindsigt for DR og TV 2 m.v.","Proposal for a law amending the law on broadcasting, etc. and the law on media support (Modernisation of the public service pool, amendment of the audit rules for regional TV 2 companies, amendment of rules on access to documents for DR and regional TV 2 companies and amendment of subsidy ceilings for weekly newspapers)."
9749,254792,1,2024-05-30 00:00:00,17,98107,3,L 152,Forslag til lov om ændring af lov om aktiv socialpolitik. (Skærpede betingelser for at opnå ret til kontanthjælp).,Om skærpede betingelser for at opnå ret til kontanthjælp.,Proposal for a law amending the Act on active social policy.
9750,255354,1,2024-05-30 00:00:00,17,98278,3,L 161,"Forslag til lov om ændring af lov om arbejdsløshedsforsikring m.v., lov om aktiv socialpolitik, lov om social pension og forskellige andre love. (Neutralisering af virkning på indkomstoverførsler som følge af afskaffelse af en helligdag).",Om neutralisering af virkning på indkomstoverførsler som følge af afskaffelse af en helligdag.,"Draft law amending the law on unemployment insurance, the Act on active social policy, the Law on social pensions and various other laws (Neutralisation of the effect on income transfers resulting from the abolition of a public holiday)."
9752,256342,1,2024-05-30 00:00:00,17,98626,3,L 162 B,"Forslag til lov om ændring af lov om social pension og forskellige andre love. (Fradragsret for indbetalinger til aldersforsikring, aldersopsparing og supplerende engangssum i indtægtsgrundlaget ved beregning af visse sociale ydelser).","Om fradragsret for indbetalinger til aldersforsikring, aldersopsparing og supplerende engangssum i indtægtsgrundlaget ved beregning af visse sociale ydelser.","Draft law amending the Social Pensions Act and various other laws. (The right of deduction for old-age insurance payments, old-age savings and supplementary lump sum in the income base for the calculation of certain social benefits)."
9753,255302,1,2024-05-30 00:00:00,17,98274,3,L 163,Forslag til lov om ret til lommepengejob til kriminalitetstruede unge.,Om ret til lommepengejob til kriminalitetstruede unge.,Draft law on the right to pocket money jobs for criminally threatened young people.
9754,255555,1,2024-05-30 00:00:00,17,98364,3,L 185,Forslag til lov om ændring af ejendomsskatteloven og ejendomsvurderingsloven. (Justering af reglerne om betaling af dækningsafgift på et foreløbigt grundlag og justering af reglerne om 2024- og 2025-vurderinger).,Om justering af reglerne om betaling af dækningsafgift på et foreløbigt grundlag og om reglerne om 2024- og 2025-vurderinger af ejendomsvurderinger.,Proposal for a law amending the Property Tax Act and the Property Assessment Act. (Adjusting the rules on the payment of cover tax on a provisional basis and adjusting the rules on the 2025 and 2025 valuations).
9755,255172,1,2024-05-30 00:00:00,17,98264,3,L 166,Forslag til lov om statsligt udpegede energiparker.,Om statsligt udpegede energiparker.,Draft law on state designated energy parks.
9818,254241,1,2024-06-04 00:00:00,17,97918,3,L 134,Forslag til lov om ændring af retsplejelov for Grønland. (Henvisning af civile retssager til Grønlands Landsret).,Om henvisning af civile retssager til Grønlands Landsret.,Proposal for a law amending the Code of Civil Procedure for Greenland (Reference of civil proceedings to the Greenland Land Court).
9819,253058,1,2024-06-04 00:00:00,17,97651,3,L 115,"Forslag til lov om ændring af retsplejeloven, straffeloven, lov om fuldbyrdelse af straf m.v., færdselsloven og forskellige andre love. (Gennemførelse af flerårsaftale for domstolene 2024-27 m.v.).",Om gennemførelse af flerårsaftale for domstolene 2024-27 m.v.,"Proposal for a law amending the Code of Procedure, the Criminal Code, the Law on the Enforcement of Punishment, etc., the Road Traffic Code and various other laws. (Implementation of the Multi-Year Agreement before the Courts 2024-27, etc.)."
9820,254254,1,2024-06-04 00:00:00,17,97919,3,L 135,Forslag til lov om ændring af lov om tjenestemænd. (Ændring af rigsadvokatens ansættelsesvilkår).,Om ændring af rigsadvokatens ansættelsesvilkår.,Draft law amending the law on civil servants.
9821,254518,1,2024-06-04 00:00:00,17,97999,3,L 148,"Forslag til lov om ændring af retsplejeloven. (Ændring af reglerne om hastesikring og udlevering af oplysninger om teletrafik, reglerne om genoptagelse af straffesager m.v.).  ",Om ændring af reglerne om hastesikring og udlevering af oplysninger om teletrafik og regler om genoptagelse af straffesager m.v.,"Proposal for a law amending the Code of Criminal Procedure (amendment of the rules on emergency insurance and the provision of information on telecommunications, the rules on the resumption of criminal proceedings, etc.)."
9822,254883,1,2024-06-04 00:00:00,17,98114,3,L 150,"Forslag til lov om ændring af straffeloven, retsplejeloven og forskellige andre love. (Gennemførelse af dele af bandepakke IV).",Om gennemførelse af dele af bandepakke IV.,"Proposal for a law amending the Criminal Code, the Code of Procedure and various other laws. (Implementation of parts of the gang package IV)."
